dataset,model,prompt_type,user_symptom_precision,user_symptom_recall,user_symptom_f1,root_cause_precision,root_cause_recall,root_cause_f1
aws,gpt-3.5,0,0.8457704782485962,0.7490379810333252,0.7856447100639343,,,
aws,gpt-3.5,1,0.9403495192527772,0.928037703037262,0.9308638572692872,,,
aws,gpt-4o,0,0.7989891767501831,0.8578479290008545,0.8208189606666565,,,
aws,gpt-4o,1,0.9394860863685608,0.9458710551261902,0.9397902488708496,,,
aws,claude-3-5,0,0.801467776298523,0.5720548629760742,0.6635863184928894,,,
aws,claude-3-5,1,0.8907659649848938,0.7991896271705627,0.8387763500213623,,,
aws,claude-4,0,0.8307279348373413,0.6820656061172485,0.7422664165496826,,,
aws,claude-4,1,0.927709937095642,0.9068924188613892,0.9134584665298462,,,
aws,gemini-2.0,0,0.8463779091835022,0.7128131985664368,0.7589115500450134,,,
aws,gemini-2.0,1,0.9487294554710388,0.939152717590332,0.9414628148078918,,,
aws,gemini-2.5,0,0.8533176183700562,0.9130958318710328,0.8760514259338379,,,
aws,gemini-2.5,1,0.9539448022842408,0.9346408247947692,0.940836787223816,,,
azure,gpt-3.5,0,0.8788447380065918,0.8809753656387329,0.8718201518058777,0.7989113330841064,0.813717782497406,0.797206699848175
azure,gpt-3.5,1,0.9338414072990416,0.9635262489318848,0.945120334625244,0.8133546710014343,0.8827177286148071,0.8401702642440796
azure,gpt-4o,0,0.7001992464065552,0.9519125819206238,0.8018417358398438,0.7168148756027222,0.9131640195846558,0.7962842583656311
azure,gpt-4o,1,0.8081082701683044,0.9675063490867616,0.873391330242157,0.8299210667610168,0.9165009260177612,0.8652765154838562
azure,claude-3-5,0,0.8365389108657837,0.6134516000747681,0.7019835114479065,0.7618975043296814,0.595855712890625,0.663958728313446
azure,claude-3-5,1,0.8767480254173279,0.7046253681182861,0.7750325202941895,0.8074851036071777,0.7087113261222839,0.7498668432235718
azure,claude-4,0,0.8921462297439575,0.9187554717063904,0.8997113704681396,0.8222959637641907,0.8402664065361023,0.8258375525474548
azure,claude-4,1,0.9107703566551208,0.9172875881195068,0.9088621735572816,0.8364630341529846,0.8479579091072083,0.8370904326438904
azure,gemini-2.0,0,0.8843663334846497,0.9409303665161132,0.9061790108680724,0.8054660558700562,0.8713443279266357,0.8310509324073792
azure,gemini-2.0,1,0.9043829441070556,0.9717212915420532,0.9323589205741882,0.8492974638938904,0.8826086521148682,0.8627178072929382
azure,gemini-2.5,0,0.7349618077278137,0.9578402042388916,0.8269906044006348,0.7528010606765747,0.8851891160011292,0.8076088428497314
azure,gemini-2.5,1,0.9118212461471558,0.967110812664032,0.9347471594810486,0.8221352100372314,0.8616964221000671,0.8378522396087646
gcp,gpt-3.5,0,0.709059476852417,0.6525629758834839,0.6701035499572754,,,
gcp,gpt-3.5,1,0.8068565726280212,0.7712134122848511,0.780857264995575,,,
gcp,gpt-4o,0,0.6831874251365662,0.7224447727203369,0.6926022171974182,,,
gcp,gpt-4o,1,0.7875198125839233,0.8173595666885376,0.7941528558731079,,,
gcp,claude-3-5,0,0.6898412704467773,0.5877588391304016,0.62431401014328,,,
gcp,claude-3-5,1,0.8190695643424988,0.7308160066604614,0.7649429440498352,,,
gcp,claude-4,0,0.7128836512565613,0.6803883910179138,0.6870906949043274,,,
gcp,claude-4,1,0.8367753624916077,0.7913424968719482,0.8059701323509216,,,
gcp,gemini-2.0,0,0.738145649433136,0.7134318947792053,0.7169560790061951,,,
gcp,gemini-2.0,1,0.8347664475440979,0.7966700196266174,0.8081461191177368,,,
gcp,gemini-2.5,0,0.7036635875701904,0.7469831705093384,0.7162154316902161,,,
gcp,gemini-2.5,1,0.8392014503479004,0.8100181818008423,0.818260133266449,,,
